date,continent,cases,deaths,new_cases,new_deaths
2020-01-22,Africa,0.0,0.0,,
2020-01-23,Africa,0.0,0.0,0.0,0.0
2020-01-24,Africa,0.0,0.0,0.0,0.0
2020-01-25,Africa,0.0,0.0,0.0,0.0
2020-01-26,Africa,0.0,0.0,0.0,0.0
2020-01-27,Africa,0.0,0.0,0.0,0.0
2020-01-28,Africa,0.0,0.0,0.0,0.0
2020-01-29,Africa,0.0,0.0,0.0,0.0
2020-01-30,Africa,0.0,0.0,0.0,0.0
2020-01-31,Africa,0.0,0.0,0.0,0.0
2020-02-01,Africa,0.0,0.0,0.0,0.0
2020-02-02,Africa,0.0,0.0,0.0,0.0
2020-02-03,Africa,0.0,0.0,0.0,0.0
2020-02-04,Africa,0.0,0.0,0.0,0.0
2020-02-05,Africa,0.0,0.0,0.0,0.0
2020-02-06,Africa,0.0,0.0,0.0,0.0
2020-02-07,Africa,0.0,0.0,0.0,0.0
2020-02-08,Africa,0.0,0.0,0.0,0.0
2020-02-09,Africa,0.0,0.0,0.0,0.0
2020-02-10,Africa,0.0,0.0,0.0,0.0
2020-02-11,Africa,0.0,0.0,0.0,0.0
2020-02-12,Africa,0.0,0.0,0.0,0.0
2020-02-13,Africa,0.0,0.0,0.0,0.0
2020-02-14,Africa,1.0,0.0,1.0,0.0
2020-02-15,Africa,1.0,0.0,0.0,0.0
2020-02-16,Africa,1.0,0.0,0.0,0.0
2020-02-17,Africa,1.0,0.0,0.0,0.0
2020-02-18,Africa,1.0,0.0,0.0,0.0
2020-02-19,Africa,1.0,0.0,0.0,0.0
2020-02-20,Africa,1.0,0.0,0.0,0.0
2020-02-21,Africa,1.0,0.0,0.0,0.0
2020-02-22,Africa,1.0,0.0,0.0,0.0
2020-02-23,Africa,1.0,0.0,0.0,0.0
2020-02-24,Africa,1.0,0.0,0.0,0.0
2020-02-25,Africa,2.0,0.0,1.0,0.0
2020-02-26,Africa,2.0,0.0,0.0,0.0
2020-02-27,Africa,2.0,0.0,0.0,0.0
2020-02-28,Africa,3.0,0.0,1.0,0.0
2020-02-29,Africa,3.0,0.0,0.0,0.0
2020-03-01,Africa,4.0,0.0,1.0,0.0
2020-03-02,Africa,8.0,0.0,4.0,0.0
2020-03-03,Africa,11.0,0.0,3.0,0.0
2020-03-04,Africa,21.0,0.0,10.0,0.0
2020-03-05,Africa,24.0,0.0,3.0,0.0
2020-03-06,Africa,43.0,0.0,19.0,0.0
2020-03-07,Africa,43.0,0.0,0.0,0.0
2020-03-08,Africa,83.0,1.0,40.0,1.0
2020-03-09,Africa,91.0,1.0,8.0,0.0
2020-03-10,Africa,104.0,2.0,13.0,1.0
2020-03-11,Africa,118.0,2.0,14.0,0.0
2020-03-12,Africa,134.0,3.0,16.0,1.0
2020-03-13,Africa,176.0,6.0,42.0,3.0
2020-03-14,Africa,252.0,7.0,76.0,1.0
2020-03-15,Africa,311.0,8.0,59.0,1.0
2020-03-16,Africa,398.0,8.0,87.0,0.0
