date,cases,deaths,new_cases,new_deaths
2020-01-22,557.0,17.0,,
2020-01-23,655.0,18.0,98.0,1.0
2020-01-24,941.0,26.0,286.0,8.0
2020-01-25,1433.0,42.0,492.0,16.0
2020-01-26,2118.0,56.0,685.0,14.0
2020-01-27,2927.0,82.0,809.0,26.0
2020-01-28,5578.0,131.0,2651.0,49.0
2020-01-29,6167.0,133.0,589.0,2.0
2020-01-30,8235.0,171.0,2068.0,38.0
2020-01-31,9927.0,213.0,1692.0,42.0
2020-02-01,12038.0,259.0,2111.0,46.0
2020-02-02,16787.0,362.0,4749.0,103.0
2020-02-03,19887.0,426.0,3100.0,64.0
2020-02-04,23898.0,492.0,4011.0,66.0
2020-02-05,27643.0,564.0,3745.0,72.0
2020-02-06,30803.0,634.0,3160.0,70.0
2020-02-07,34396.0,719.0,3593.0,85.0
2020-02-08,37130.0,806.0,2734.0,87.0
2020-02-09,40160.0,906.0,3030.0,100.0
2020-02-10,42769.0,1013.0,2609.0,107.0
2020-02-11,44811.0,1113.0,2042.0,100.0
2020-02-12,45229.0,1118.0,418.0,5.0
2020-02-13,60382.0,1371.0,15153.0,253.0
2020-02-14,66909.0,1523.0,6527.0,152.0
2020-02-15,69052.0,1666.0,2143.0,143.0
2020-02-16,71235.0,1770.0,2183.0,104.0
2020-02-17,73270.0,1868.0,2035.0,98.0
2020-02-18,75152.0,2008.0,1882.0,140.0
2020-02-19,75652.0,2123.0,500.0,115.0
2020-02-20,76212.0,2248.0,560.0,125.0
2020-02-21,76841.0,2252.0,629.0,4.0
2020-02-22,78602.0,2459.0,1761.0,207.0
2020-02-23,78982.0,2470.0,380.0,11.0
2020-02-24,79546.0,2630.0,564.0,160.0
2020-02-25,80399.0,2710.0,853.0,80.0
2020-02-26,81376.0,2771.0,977.0,61.0
2020-02-27,82736.0,2814.0,1360.0,43.0
2020-02-28,84123.0,2873.0,1387.0,59.0
2020-02-29,86013.0,2942.0,1890.0,69.0
2020-03-01,88394.0,2996.0,2381.0,54.0
2020-03-02,90377.0,3085.0,1983.0,89.0
2020-03-03,92971.0,3160.0,2594.0,75.0
2020-03-04,95279.0,3255.0,2308.0,95.0
2020-03-05,98090.0,3349.0,2811.0,94.0
2020-03-06,102003.0,3460.0,3913.0,111.0
2020-03-07,106098.0,3564.0,4095.0,104.0
2020-03-08,110047.0,3803.0,3949.0,239.0
2020-03-09,114219.0,3993.0,4172.0,190.0
2020-03-10,119041.0,4267.0,4822.0,274.0
2020-03-11,126702.0,4611.0,7661.0,344.0
2020-03-12,132492.0,4917.0,5790.0,306.0
2020-03-13,146878.0,5414.0,14386.0,497.0
2020-03-14,157952.0,5834.0,11074.0,420.0
2020-03-15,169222.0,6475.0,11270.0,641.0
2020-03-16,184032.0,7153.0,14810.0,678.0
2020-03-17,199976.0,7966.0,15944.0,813.0
2020-03-18,219534.0,8871.0,19558.0,905.0
2020-03-19,246583.0,9982.0,27049.0,1111.0
2020-03-20,277360.0,11464.0,30777.0,1482.0
2020-03-21,309363.0,13183.0,32003.0,1719.0
2020-03-22,344237.0,14858.0,34874.0,1675.0
2020-03-23,387091.0,16802.0,42854.0,1944.0
2020-03-24,428262.0,19090.0,41171.0,2288.0
2020-03-25,479286.0,21894.0,51024.0,2804.0
2020-03-26,542133.0,24921.0,62847.0,3027.0
2020-03-27,607204.0,28408.0,65071.0,3487.0
2020-03-28,674473.0,32133.0,67269.0,3725.0
2020-03-29,733737.0,35620.0,59264.0,3487.0
2020-03-30,799016.0,39685.0,65279.0,4065.0
2020-03-31,875863.0,44440.0,76847.0,4755.0
2020-04-01,958655.0,50414.0,82792.0,5974.0
2020-04-02,1041719.0,56286.0,83064.0,5872.0
2020-04-03,1125265.0,62423.0,83546.0,6137.0
2020-04-04,1183677.0,68322.0,58412.0,5899.0
2020-04-05,1256276.0,73477.0,72599.0,5155.0
2020-04-06,1329417.0,79400.0,73141.0,5923.0
2020-04-07,1399250.0,87656.0,69833.0,8256.0
2020-04-08,1482599.0,94450.0,83349.0,6794.0
2020-04-09,1569624.0,102238.0,87025.0,7788.0
2020-04-10,1655165.0,109645.0,85541.0,7407.0
2020-04-11,1729473.0,115822.0,74308.0,6177.0
2020-04-12,1849168.0,121626.0,119695.0,5804.0
2020-04-13,1919891.0,127545.0,70723.0,5919.0
2020-04-14,2003859.0,134527.0,83968.0,6982.0
2020-04-15,2081010.0,142983.0,77151.0,8456.0
2020-04-16,2176571.0,150261.0,95561.0,7278.0
2020-04-17,2264561.0,158636.0,87990.0,8375.0
2020-04-18,2341850.0,164780.0,77289.0,6144.0
2020-04-19,2418452.0,169981.0,76602.0,5201.0
2020-04-20,2494478.0,175818.0,76026.0,5837.0
2020-04-21,2570198.0,183116.0,75720.0,7298.0
2020-04-22,2651441.0,189947.0,81243.0,6831.0
2020-04-23,2735696.0,196777.0,84255.0,6830.0
2020-04-24,2819785.0,203518.0,84089.0,6741.0
2020-04-25,2902049.0,209141.0,82264.0,5623.0
2020-04-26,2973634.0,213069.0,71585.0,3928.0
2020-04-27,3043825.0,217770.0,70191.0,4701.0
2020-04-28,3119251.0,224351.0,75426.0,6581.0
2020-04-29,3196365.0,231178.0,77114.0,6827.0
2020-04-30,3279859.0,237227.0,83494.0,6049.0
2020-05-01,3368235.0,242357.0,88376.0,5130.0
2020-05-02,3447437.0,247826.0,79202.0,5469.0
2020-05-03,3523809.0,251265.0,76372.0,3439.0
2020-05-04,3601499.0,255422.0,77690.0,4157.0
2020-05-05,3682002.0,261290.0,80503.0,5868.0
2020-05-06,3772028.0,267831.0,90026.0,6541.0
2020-05-07,3860735.0,273131.0,88707.0,5300.0
2020-05-08,3951007.0,278669.0,90272.0,5538.0
2020-05-09,4036209.0,282958.0,85202.0,4289.0
2020-05-10,4111208.0,286450.0,74999.0,3492.0
2020-05-11,4187837.0,289894.0,76629.0,3444.0
2020-05-12,4272324.0,295395.0,84487.0,5501.0
2020-05-13,4357304.0,300546.0,84980.0,5151.0
2020-05-14,4453532.0,305700.0,96228.0,5154.0
